06/04 09:33:31 PM | Arguments:
06/04 09:33:55 PM | Train Epoch: 2 [28160/60000 (47%)]	Loss: 0.099848	Accuracy: 97.8139%
06/04 09:33:55 PM | Train Epoch: 2 [28800/60000 (48%)]	Loss: 0.019436	Accuracy: 97.8070%
06/04 09:33:56 PM | Train Epoch: 2 [29440/60000 (49%)]	Loss: 0.202436	Accuracy: 97.8003%
06/04 09:33:56 PM | Train Epoch: 2 [30080/60000 (50%)]	Loss: 0.018315	Accuracy: 97.8006%
06/04 09:33:56 PM | Train Epoch: 2 [30720/60000 (51%)]	Loss: 0.183904	Accuracy: 97.8041%
06/04 09:33:56 PM | Train Epoch: 2 [31360/60000 (52%)]	Loss: 0.049947	Accuracy: 97.8010%
06/04 09:33:56 PM | Train Epoch: 2 [32000/60000 (53%)]	Loss: 0.011154	Accuracy: 97.8013%
06/04 09:33:56 PM | Train Epoch: 2 [32640/60000 (54%)]	Loss: 0.097579	Accuracy: 97.7862%
06/04 09:33:56 PM | Train Epoch: 2 [33280/60000 (55%)]	Loss: 0.116202	Accuracy: 97.7867%
06/04 09:33:57 PM | Train Epoch: 2 [33920/60000 (57%)]	Loss: 0.123077	Accuracy: 97.7813%
06/04 09:33:57 PM | Train Epoch: 2 [34560/60000 (58%)]	Loss: 0.005118	Accuracy: 97.7790%
06/04 09:33:57 PM | Train Epoch: 2 [35200/60000 (59%)]	Loss: 0.041211	Accuracy: 97.7739%
06/04 09:33:57 PM | Train Epoch: 2 [35840/60000 (60%)]	Loss: 0.118239	Accuracy: 97.7718%
06/04 09:33:57 PM | Train Epoch: 2 [36480/60000 (61%)]	Loss: 0.013576	Accuracy: 97.7999%
06/04 09:33:57 PM | Train Epoch: 2 [37120/60000 (62%)]	Loss: 0.043041	Accuracy: 97.8082%
06/04 09:33:58 PM | Train Epoch: 2 [37760/60000 (63%)]	Loss: 0.039015	Accuracy: 97.8162%
06/04 09:33:58 PM | Train Epoch: 2 [38400/60000 (64%)]	Loss: 0.056005	Accuracy: 97.8135%
06/04 09:33:58 PM | Train Epoch: 2 [39040/60000 (65%)]	Loss: 0.131490	Accuracy: 97.8238%
